,city,price,carat,clarity,color,cut,depth,table,x,y,z
26,Amsterdam,5826,1.03,VS2,G,Premium,63.0,59.0,6.45,6.4,4.05
27,Amsterdam,5814,1.03,VS2,G,Premium,62.2,56.0,6.51,6.48,4.04
28,Amsterdam,6122,1.04,VS2,G,Premium,60.0,58.0,6.62,6.54,3.95
29,Amsterdam,672,0.32,VS2,G,Premium,60.1,61.0,4.44,4.41,2.66
30,Amsterdam,6213,1.07,VS2,G,Premium,61.9,60.0,6.55,6.48,4.03
31,Amsterdam,5131,1.01,VS2,G,Premium,61.2,59.0,6.43,6.37,3.92
32,Amsterdam,743,0.33,VS2,G,Premium,60.6,61.0,4.49,4.46,2.71
33,Amsterdam,6290,1.04,VS2,G,Premium,62.5,58.0,6.47,6.43,4.03
34,Amsterdam,6169,1.02,VS2,G,Premium,60.5,54.0,6.57,6.48,3.95
35,Zurich,4637,0.9,VS2,G,Premium,61.7,57.0,6.21,6.11,3.8
36,Zurich,2050,0.67,VS2,G,Premium,61.0,57.0,5.68,5.63,3.45
37,Zurich,15941,1.7,VS2,G,Premium,60.3,60.0,7.72,7.64,4.63
38,Zurich,6108,1.01,VS2,G,Premium,62.0,59.0,6.41,6.36,3.96
39,Zurich,9677,1.2,VS2,G,Premium,62.5,58.0,6.74,6.67,4.19
40,Zurich,698,0.31,VS2,G,Premium,62.2,59.0,4.35,4.3,2.69
41,Zurich,7151,1.13,VS2,G,Premium,61.9,58.0,6.7,6.67,4.14
42,Zurich,1607,0.53,VS2,G,Premium,61.2,57.0,5.26,5.19,3.2
43,Zurich,6146,1.03,VS2,G,Premium,62.3,57.0,6.51,6.43,4.03
44,Zurich,698,0.31,VS2,G,Premium,59.0,60.0,4.41,4.37,2.59
45,Zurich,720,0.32,VS2,G,Premium,62.6,59.0,4.36,4.33,2.72
46,Zurich,4357,0.91,VS2,G,Premium,60.8,56.0,6.28,6.21,3.8
47,Zurich,13942,1.6,VS2,G,Premium,61.6,60.0,7.55,7.49,4.63
48,Zurich,1061,0.41,VS2,G,Premium,61.7,61.0,4.74,4.7,2.91
49,Zurich,11711,1.57,VS2,G,Premium,62.7,60.0,7.46,7.38,4.65
50,Zurich,7948,1.25,VS2,G,Premium,61.2,57.0,6.95,6.91,4.24
51,Zurich,6058,1.02,VS2,G,Premium,62.7,58.0,6.4,6.45,4.03
52,Zurich,13132,1.58,VS2,G,Premium,62.6,59.0,7.47,7.44,4.67
53,Zurich,5177,1.07,VS2,G,Premium,59.8,58.0,6.67,6.63,3.98
54,Zurich,12717,1.53,VS2,G,Premium,61.8,59.0,7.45,7.31,4.56
55,Zurich,7792,1.21,VS2,G,Premium,61.5,58.0,6.84,6.81,4.2
56,Zurich,6504,1.09,VS2,G,Premium,60.9,56.0,6.7,6.67,4.07
57,Zurich,693,0.33,VS2,G,Premium,61.3,61.0,4.47,4.43,2.73
58,Zurich,1841,0.62,VS2,G,Premium,60.2,60.0,5.58,5.52,3.34
59,Zurich,6471,1.07,VS2,G,Premium,60.5,56.0,6.71,6.64,4.04
60,Zurich,2694,0.71,VS2,G,Premium,60.3,60.0,5.81,5.76,3.49
61,Zurich,6169,1.02,VS2,G,Premium,62.7,58.0,6.45,6.4,4.03
62,Zurich,12308,1.5,VS2,G,Premium,62.5,59.0,7.32,7.28,4.56
63,Zurich,6471,1.07,VS2,G,Premium,60.9,58.0,6.6,6.56,4.01
64,Zurich,12308,1.54,VS2,G,Premium,61.1,59.0,7.44,7.4,4.53
65,Zurich,765,0.34,VS2,G,Premium,61.2,59.0,4.49,4.43,2.73
66,Zurich,11489,1.6,VS2,G,Premium,62.2,59.0,7.45,7.48,4.64
67,Zurich,579,0.33,VS2,G,Premium,61.4,60.0,4.41,4.45,2.72
68,Zurich,13157,1.51,VS2,G,Premium,60.8,60.0,7.42,7.38,4.5
69,Zurich,8113,1.26,VS2,G,Premium,60.1,61.0,7.04,6.97,4.21
70,Zurich,9471,1.35,VS2,G,Premium,62.8,59.0,7.04,7.01,4.41
71,Zurich,5864,1.01,VS2,G,Premium,60.7,60.0,6.49,6.45,3.93
72,Zurich,1637,0.54,VS2,G,Premium,62.7,58.0,5.19,5.15,3.24
73,Zurich,6379,1.13,VS2,G,Premium,62.7,57.0,6.67,6.61,4.16
74,Las Vegas,1608,0.57,VS2,G,Premium,59.7,59.0,5.37,5.41,3.22
75,Las Vegas,9580,1.35,VS2,G,Premium,61.1,58.0,7.16,7.12,4.36
76,Las Vegas,6713,1.11,VS2,G,Premium,62.3,58.0,6.65,6.61,4.13
77,Las Vegas,6327,1.03,VS2,G,Premium,62.3,59.0,6.42,6.38,3.99
78,Las Vegas,8818,1.31,VS2,G,Premium,60.3,59.0,7.08,7.12,4.28
79,Las Vegas,2766,0.71,VS2,G,Premium,60.9,57.0,5.78,5.75,3.51
80,Las Vegas,1113,0.43,VS2,G,Premium,61.1,58.0,4.88,4.84,2.97
81,Las Vegas,4137,0.9,VS2,G,Premium,62.8,58.0,6.14,6.09,3.84
82,Las Vegas,18166,2.03,VS2,G,Premium,60.9,59.0,8.17,8.14,4.97
83,Las Vegas,720,0.32,VS2,G,Premium,61.9,58.0,4.43,4.36,2.72
84,Las Vegas,596,0.34,VS2,G,Premium,61.6,60.0,4.47,4.49,2.76
85,Las Vegas,743,0.33,VS2,G,Premium,62.0,58.0,4.45,4.42,2.75
86,Las Vegas,1113,0.43,VS2,G,Premium,61.3,58.0,4.86,4.83,2.97
87,Las Vegas,7258,1.2,VS2,G,Premium,59.4,58.0,6.91,6.85,4.09
88,Las Vegas,5620,1.01,VS2,G,Premium,59.8,61.0,6.53,6.44,3.88
89,Las Vegas,12787,1.5,VS2,G,Premium,62.5,59.0,7.27,7.23,4.53
90,Las Vegas,1728,0.57,VS2,G,Premium,59.7,59.0,5.41,5.37,3.22
91,Las Vegas,561,0.32,VS2,G,Premium,61.7,60.0,4.32,4.4,2.69
92,Las Vegas,1546,0.51,VS2,G,Premium,62.2,57.0,5.15,5.1,3.19
93,Las Vegas,2803,0.71,VS2,G,Premium,59.9,60.0,5.81,5.77,3.47
94,Las Vegas,6416,1.02,VS2,G,Premium,62.5,58.0,6.46,6.41,4.02
95,Las Vegas,787,0.39,VS2,G,Premium,61.2,60.0,4.68,4.73,2.88
96,Las Vegas,16879,1.76,VS2,G,Premium,61.5,58.0,7.78,7.74,4.77
97,Las Vegas,561,0.32,VS2,G,Premium,62.6,59.0,4.33,4.36,2.72
98,Las Vegas,7611,1.21,VS2,G,Premium,62.2,60.0,6.79,6.75,4.21
99,Las Vegas,5864,1.01,VS2,G,Premium,61.9,59.0,6.38,6.34,3.94
100,Las Vegas,1415,0.5,VS2,G,Premium,60.2,60.0,5.21,5.15,3.12
101,Las Vegas,1035,0.4,VS2,G,Premium,62.8,61.0,4.67,4.63,2.92
102,Las Vegas,5346,1.11,VS2,G,Premium,61.0,59.0,6.7,6.67,4.08
103,Las Vegas,13287,1.52,VS2,G,Premium,62.7,58.0,7.38,7.29,4.6
104,Las Vegas,4424,0.9,VS2,G,Premium,60.2,59.0,6.28,6.22,3.76
105,Las Vegas,2050,0.67,VS2,G,Premium,61.0,61.0,5.66,5.61,3.44
106,Las Vegas,7130,1.19,VS2,G,Premium,62.3,58.0,6.82,6.77,4.23
107,Las Vegas,2328,0.7,VS2,G,Premium,58.2,60.0,5.84,5.78,3.38
108,Las Vegas,827,0.41,VS2,G,Premium,59.8,58.0,4.8,4.84,2.88
109,Las Vegas,1438,0.51,VS2,G,Premium,62.4,58.0,5.11,5.12,3.19
110,Las Vegas,2746,0.73,VS2,G,Premium,60.7,58.0,5.82,5.87,3.55
111,New York City,720,0.32,VS2,G,Premium,62.5,60.0,4.38,4.32,2.72
112,New York City,1061,0.41,VS2,G,Premium,61.0,56.0,4.83,4.81,2.94
113,New York City,7951,1.37,VS2,G,Premium,61.6,59.0,7.11,7.04,4.36
114,New York City,15946,1.72,VS2,G,Premium,61.1,58.0,7.73,7.69,4.71
115,New York City,5967,1.0,VS2,G,Premium,63.0,59.0,6.45,6.32,4.02
116,New York City,7203,1.16,VS2,G,Premium,59.9,60.0,6.88,6.85,4.11
117,New York City,6022,1.07,VS2,G,Premium,60.1,60.0,6.76,6.6,3.99
118,New York City,9216,1.3,VS2,G,Premium,60.9,60.0,7.04,6.99,4.27
119,New York City,6169,1.02,VS2,G,Premium,59.8,58.0,6.58,6.54,3.92
120,New York City,4269,0.9,VS2,G,Premium,61.7,59.0,6.14,6.22,3.81
121,New York City,6532,1.08,VS2,G,Premium,62.4,57.0,6.56,6.49,4.07
122,New York City,827,0.41,VS2,G,Premium,61.5,58.0,4.8,4.82,2.96
123,New York City,5654,1.23,VS2,G,Premium,61.6,58.0,6.91,6.85,4.24
124,New York City,2770,0.73,VS2,G,Premium,60.7,58.0,5.87,5.82,3.55
125,New York City,720,0.32,VS2,G,Premium,62.8,58.0,4.35,4.31,2.72
126,New York City,561,0.32,VS2,G,Premium,60.7,58.0,4.38,4.42,2.67
127,New York City,1645,0.55,VS2,G,Premium,61.5,61.0,5.27,5.23,3.23
128,New York City,765,0.34,VS2,G,Premium,61.2,62.0,4.48,4.44,2.73
129,New York City,6415,1.08,VS2,G,Premium,59.4,59.0,6.68,6.75,3.99
130,New York City,2479,0.7,VS2,G,Premium,62.5,55.0,5.69,5.64,3.54
131,New York City,867,0.43,VS2,G,Premium,61.1,59.0,4.83,4.86,2.96
132,New York City,3084,0.81,VS2,G,Premium,61.2,60.0,6.0,5.99,3.67
133,New York City,5242,1.0,VS2,G,Premium,60.8,58.0,6.44,6.4,3.9
134,New York City,765,0.34,VS2,G,Premium,61.3,58.0,4.53,4.51,2.77
135,New York City,698,0.31,VS2,G,Premium,62.6,57.0,4.32,4.3,2.7
136,New York City,2671,0.71,VS2,G,Premium,60.3,60.0,5.76,5.81,3.49
137,New York City,720,0.32,VS2,G,Premium,61.1,58.0,4.45,4.42,2.71
138,New York City,579,0.33,VS2,G,Premium,60.0,58.0,4.47,4.49,2.69
139,New York City,6108,1.01,VS2,G,Premium,62.1,54.0,6.5,6.36,3.99
140,New York City,2803,0.78,VS2,G,Premium,60.8,58.0,6.03,5.95,3.64
141,New York City,2297,0.58,VS2,G,Premium,62.2,58.0,5.35,5.32,3.32
142,New York City,6272,1.0,VS2,G,Premium,60.1,57.0,6.42,6.35,3.84
143,New York City,3193,0.81,VS2,G,Premium,62.9,58.0,5.94,5.88,3.72
144,New York City,596,0.34,VS2,G,Premium,61.0,58.0,4.46,4.49,2.73
145,New York City,11480,1.51,VS2,G,Premium,60.4,58.0,7.38,7.43,4.47
146,New York City,765,0.34,VS2,G,Premium,61.6,60.0,4.49,4.47,2.76
147,New York City,6492,1.15,VS2,G,Premium,61.5,58.0,6.76,6.71,4.14
148,Paris,2443,0.71,VS2,G,Premium,60.3,59.0,5.79,5.76,3.48
149,Paris,720,0.32,VS2,G,Premium,62.3,58.0,4.41,4.36,2.73
150,Paris,942,0.39,VS2,G,Premium,60.4,61.0,4.73,4.71,2.85
151,Paris,6272,1.0,VS2,G,Premium,61.6,58.0,6.44,6.42,3.96
152,Paris,743,0.33,VS2,G,Premium,60.9,56.0,4.5,4.46,2.73
153,Paris,5098,1.09,VS2,G,Premium,62.1,57.0,6.6,6.55,4.08
154,Paris,944,0.37,VS2,G,Premium,59.7,61.0,4.72,4.66,2.8
155,Paris,1577,0.52,VS2,G,Premium,61.0,60.0,5.19,5.13,3.15
156,Paris,7870,1.22,VS2,G,Premium,61.2,58.0,6.91,6.81,4.2
157,Paris,6229,1.03,VS2,G,Premium,58.9,59.0,6.65,6.59,3.9
158,Paris,14330,1.64,VS2,G,Premium,62.4,58.0,7.52,7.49,4.68
159,Paris,1841,0.62,VS2,G,Premium,60.9,59.0,5.52,5.48,3.35
160,Paris,2596,0.7,VS2,G,Premium,61.3,58.0,5.74,5.68,3.5
161,Paris,3237,0.85,VS2,G,Premium,61.0,58.0,6.11,6.08,3.72
162,Paris,13702,1.62,VS2,G,Premium,62.3,58.0,7.54,7.49,4.68
163,Paris,833,0.37,VS2,G,Premium,62.8,60.0,4.59,4.55,2.87
164,Paris,4309,0.9,VS2,G,Premium,61.5,60.0,6.16,6.13,3.78
165,Paris,544,0.31,VS2,G,Premium,59.2,60.0,4.42,4.47,2.63
166,Paris,1343,0.51,VS2,G,Premium,61.3,59.0,5.11,5.17,3.15
167,Paris,544,0.31,VS2,G,Premium,61.5,59.0,4.33,4.35,2.67
168,Paris,6445,1.11,VS2,G,Premium,60.4,58.0,6.76,6.72,4.07
169,Paris,6589,1.04,VS2,G,Premium,60.1,59.0,6.56,6.59,3.95
170,Paris,4022,0.9,VS2,G,Premium,59.6,61.0,6.25,6.2,3.71
171,Paris,8213,1.22,VS2,G,Premium,61.8,58.0,6.84,6.91,4.25
172,Paris,2317,0.7,VS2,G,Premium,61.7,58.0,5.68,5.73,3.52
173,Paris,720,0.32,VS2,G,Premium,61.5,60.0,4.39,4.36,2.69
174,Paris,544,0.31,VS2,G,Premium,62.2,59.0,4.3,4.35,2.69
175,Paris,6416,1.02,VS2,G,Premium,61.5,59.0,6.44,6.41,3.95
176,Paris,827,0.41,VS2,G,Premium,59.7,59.0,4.81,4.84,2.88
177,Paris,1116,0.47,VS2,G,Premium,61.0,59.0,5.03,5.0,3.06
178,Tel Aviv,1422,0.54,VS2,G,Premium,62.7,58.0,5.21,5.25,3.28
179,Tel Aviv,12228,1.53,VS2,G,Premium,61.3,58.0,7.48,7.4,4.56
180,Tel Aviv,5813,1.06,VS2,G,Premium,62.3,59.0,6.52,6.49,4.05
181,Tel Aviv,561,0.32,VS2,G,Premium,61.1,58.0,4.42,4.45,2.71
182,Tel Aviv,1637,0.54,VS2,G,Premium,61.0,60.0,5.24,5.18,3.18
183,Tel Aviv,1240,0.49,VS2,G,Premium,59.8,59.0,5.16,5.14,3.08
184,Tel Aviv,1087,0.42,VS2,G,Premium,59.8,58.0,4.9,4.86,2.92
185,Tel Aviv,827,0.41,VS2,G,Premium,61.6,58.0,4.73,4.78,2.93
186,Tel Aviv,5889,1.09,VS2,G,Premium,59.9,56.0,6.73,6.59,3.99
187,Tel Aviv,6108,1.01,VS2,G,Premium,58.5,61.0,6.57,6.52,3.83
188,Tel Aviv,983,0.38,VS2,G,Premium,60.4,57.0,4.7,4.67,2.83
189,Tel Aviv,5864,1.01,VS2,G,Premium,60.2,59.0,6.55,6.48,3.92
190,Tel Aviv,5701,1.01,VS2,G,Premium,61.1,60.0,6.46,6.37,3.92
191,Tel Aviv,983,0.38,VS2,G,Premium,59.9,58.0,4.77,4.72,2.84
192,Tel Aviv,5538,1.01,VS2,G,Premium,58.1,59.0,6.61,6.53,3.82
193,Tel Aviv,4137,0.9,VS2,G,Premium,62.0,60.0,6.19,6.14,3.82
194,Tel Aviv,720,0.32,VS2,G,Premium,59.8,59.0,4.52,4.48,2.69
195,Tel Aviv,2479,0.7,VS2,G,Premium,61.8,58.0,5.66,5.64,3.49
196,Tel Aviv,1637,0.54,VS2,G,Premium,62.0,58.0,5.21,5.18,3.22
197,Tel Aviv,2770,0.73,VS2,G,Premium,59.2,59.0,5.92,5.87,3.49
198,Tel Aviv,6709,1.04,VS2,G,Premium,61.8,58.0,6.51,6.46,4.01
199,Tel Aviv,561,0.32,VS2,G,Premium,60.8,59.0,4.41,4.44,2.69
200,Tel Aviv,5242,1.0,VS2,G,Premium,62.1,58.0,6.43,6.39,3.98
201,Tel Aviv,7397,1.19,VS2,G,Premium,58.9,61.0,6.88,6.81,4.03
202,Tel Aviv,6906,1.09,VS2,G,Premium,61.0,59.0,6.6,6.65,4.04
203,Tel Aviv,6048,1.0,VS2,G,Premium,58.6,61.0,6.61,6.57,3.86
204,Tel Aviv,12551,1.51,VS2,G,Premium,60.7,60.0,7.4,7.36,4.48
205,Tel Aviv,1113,0.43,VS2,G,Premium,61.2,58.0,4.9,4.84,2.98
206,Tel Aviv,1445,0.55,VS2,G,Premium,62.7,60.0,5.27,5.19,3.28
207,Tel Aviv,13178,1.56,VS2,G,Premium,61.9,58.0,7.4,7.44,4.59
208,Tel Aviv,867,0.43,VS2,G,Premium,62.3,58.0,4.81,4.85,3.01
209,Tel Aviv,1087,0.42,VS2,G,Premium,60.6,58.0,4.88,4.83,2.94
210,Tel Aviv,698,0.31,VS2,G,Premium,61.7,58.0,4.34,4.32,2.67
211,Tel Aviv,3841,0.9,VS2,G,Premium,59.0,58.0,6.29,6.25,3.7
212,Tel Aviv,7996,1.21,VS2,G,Premium,62.2,58.0,6.85,6.81,4.25
213,Dubai,1443,0.51,VS2,G,Premium,61.3,59.0,5.17,5.11,3.15
214,Dubai,966,0.4,VS2,G,Premium,60.4,58.0,4.78,4.75,2.88
215,Dubai,561,0.32,VS2,G,Premium,62.3,60.0,4.37,4.4,2.73
216,Dubai,2586,0.7,VS2,G,Premium,58.7,53.0,5.86,5.83,3.43
217,Dubai,2479,0.7,VS2,G,Premium,61.8,60.0,5.67,5.63,3.49
218,Dubai,2550,0.7,VS2,G,Premium,62.9,62.0,5.63,5.57,3.52
219,Dubai,630,0.3,VS2,G,Premium,59.3,59.0,4.42,4.38,2.61
220,Dubai,544,0.31,VS2,G,Premium,61.7,59.0,4.31,4.34,2.67
221,Dubai,6122,1.04,VS2,G,Premium,62.2,58.0,6.49,6.4,4.01
222,Dubai,596,0.34,VS2,G,Premium,61.6,58.0,4.45,4.51,2.76
223,Dubai,8067,1.22,VS2,G,Premium,60.9,57.0,6.94,6.89,4.21
224,Dubai,698,0.31,VS2,G,Premium,60.9,58.0,4.38,4.35,2.66
225,Dubai,743,0.33,VS2,G,Premium,59.3,61.0,4.51,4.49,2.67
226,Dubai,11189,1.5,VS2,G,Premium,59.9,58.0,7.38,7.34,4.41
227,Dubai,942,0.39,VS2,G,Premium,59.8,61.0,4.75,4.72,2.83
228,Dubai,471,0.31,VS2,G,Premium,61.2,59.0,4.36,4.4,2.68
229,Dubai,743,0.33,VS2,G,Premium,61.1,59.0,4.47,4.43,2.72
230,Dubai,596,0.34,VS2,G,Premium,61.8,58.0,4.47,4.5,2.77
231,Dubai,2760,0.75,VS2,G,Premium,61.7,58.0,5.85,5.79,3.59
232,Dubai,6653,1.1,VS2,G,Premium,61.2,62.0,6.64,6.6,4.05
233,Dubai,2795,0.72,VS2,G,Premium,62.9,57.0,5.73,5.65,3.58
234,Dubai,698,0.31,VS2,G,Premium,61.0,56.0,4.37,4.35,2.66
235,Dubai,833,0.37,VS2,G,Premium,61.2,60.0,4.63,4.58,2.82
236,Dubai,18525,1.83,VS2,G,Premium,60.5,59.0,7.99,7.89,4.8
237,Dubai,7137,1.18,VS2,G,Premium,62.3,62.0,6.72,6.69,4.18
238,Dubai,1061,0.41,VS2,G,Premium,59.2,58.0,4.83,4.8,2.85
239,Dubai,8820,1.25,VS2,G,Premium,62.6,58.0,6.87,6.8,4.28
240,Dubai,720,0.32,VS2,G,Premium,62.6,60.0,4.36,4.33,2.72
241,Dubai,6160,1.0,VS2,G,Premium,61.9,58.0,6.45,6.41,3.98
242,Dubai,983,0.38,VS2,G,Premium,60.1,61.0,4.66,4.63,2.79
243,Dubai,6027,1.01,VS2,G,Premium,59.1,58.0,6.63,6.56,3.9
244,Dubai,1546,0.51,VS2,G,Premium,62.9,58.0,5.11,5.06,3.2
245,Dubai,1546,0.51,VS2,G,Premium,62.4,57.0,5.11,5.09,3.18
246,Dubai,7258,1.2,VS2,G,Premium,59.6,58.0,6.94,6.89,4.12
247,Dubai,720,0.32,VS2,G,Premium,62.0,58.0,4.38,4.33,2.7
248,Dubai,6108,1.01,VS2,G,Premium,59.2,59.0,6.59,6.52,3.88
249,Dubai,2694,0.71,VS2,G,Premium,61.9,62.0,5.72,5.69,3.53
250,Dubai,833,0.37,VS2,G,Premium,61.2,57.0,4.63,4.59,2.82
251,Dubai,720,0.32,VS2,G,Premium,60.7,58.0,4.42,4.38,2.67
252,Dubai,13112,1.5,VS2,G,Premium,60.5,59.0,7.39,7.35,4.46
253,Dubai,2581,0.73,VS2,G,Premium,60.3,57.0,5.88,5.82,3.53
254,Dubai,5787,1.01,VS2,G,Premium,62.4,59.0,6.45,6.41,4.01
255,Kimberly,983,0.38,VS2,G,Premium,60.8,61.0,4.66,4.65,2.83
256,Kimberly,11815,1.54,VS2,G,Premium,63.0,59.0,7.36,7.3,4.62
257,Kimberly,13578,1.62,VS2,G,Premium,62.3,58.0,7.49,7.54,4.68
258,Kimberly,11786,1.58,VS2,G,Premium,58.2,58.0,7.68,7.64,4.46
259,Kimberly,720,0.32,VS2,G,Premium,62.6,58.0,4.39,4.37,2.74
260,Kimberly,11189,1.5,VS2,G,Premium,58.4,58.0,7.54,7.5,4.39
261,Kimberly,6504,1.09,VS2,G,Premium,61.7,58.0,6.6,6.53,4.05
262,Kimberly,579,0.33,VS2,G,Premium,61.9,59.0,4.4,4.46,2.74
263,Kimberly,1728,0.57,VS2,G,Premium,62.6,55.0,5.31,5.26,3.31
264,Kimberly,1556,0.55,VS2,G,Premium,60.3,62.0,5.33,5.29,3.2
265,Kimberly,10609,1.43,VS2,G,Premium,62.2,58.0,7.18,7.15,4.46
266,Kimberly,1381,0.51,VS2,G,Premium,61.1,58.0,5.17,5.2,3.17
267,Kimberly,1009,0.39,VS2,G,Premium,61.2,60.0,4.73,4.68,2.88
268,Kimberly,6181,1.05,VS2,G,Premium,61.8,58.0,6.59,6.52,4.05
269,Kimberly,765,0.34,VS2,G,Premium,60.2,58.0,4.55,4.52,2.73
270,Kimberly,6653,1.1,VS2,G,Premium,60.2,58.0,6.75,6.71,4.05
271,Kimberly,698,0.31,VS2,G,Premium,59.9,59.0,4.4,4.38,2.63
272,Kimberly,1637,0.54,VS2,G,Premium,60.0,59.0,5.42,5.22,3.19
273,Kimberly,1061,0.41,VS2,G,Premium,60.9,61.0,4.75,4.74,2.89
274,Kimberly,561,0.32,VS2,G,Premium,62.1,60.0,4.34,4.39,2.71
275,Kimberly,2803,0.77,VS2,G,Premium,61.3,57.0,5.93,5.88,3.62
276,Kimberly,5946,1.01,VS2,G,Premium,59.0,61.0,6.62,6.56,3.89
277,Kimberly,4052,0.9,VS2,G,Premium,62.8,60.0,6.14,6.08,3.84
278,Kimberly,12148,1.52,VS2,G,Premium,62.9,60.0,7.31,7.28,4.59
279,Kimberly,753,0.4,VS2,G,Premium,61.9,58.0,4.74,4.76,2.94
280,Kimberly,2766,0.71,VS2,G,Premium,59.8,56.0,5.89,5.81,3.5
281,Kimberly,6903,1.07,VS2,G,Premium,61.9,58.0,6.55,6.54,4.05
282,Kimberly,6284,1.1,VS2,G,Premium,60.5,60.0,6.67,6.58,4.01
283,Kimberly,6561,1.13,VS2,G,Premium,60.1,59.0,6.82,6.75,4.08
284,Kimberly,6146,1.03,VS2,G,Premium,62.1,57.0,6.48,6.41,4.0
285,Kimberly,561,0.32,VS2,G,Premium,62.0,58.0,4.33,4.38,2.7
286,Kimberly,8504,1.21,VS2,G,Premium,61.0,58.0,6.88,6.82,4.18
287,Kimberly,1577,0.52,VS2,G,Premium,62.4,56.0,5.19,5.16,3.23
288,Kimberly,1061,0.41,VS2,G,Premium,59.8,61.0,4.82,4.78,2.87
289,Kimberly,649,0.37,VS2,G,Premium,60.1,59.0,4.64,4.68,2.8
290,Kimberly,1577,0.52,VS2,G,Premium,61.7,58.0,5.16,5.14,3.18
291,Kimberly,6108,1.01,VS2,G,Premium,61.5,60.0,6.45,6.42,3.96
292,Kimberly,561,0.32,VS2,G,Premium,62.5,58.0,4.36,4.38,2.73
293,Kimberly,1577,0.52,VS2,G,Premium,62.1,58.0,5.18,5.15,3.21
294,Kimberly,720,0.32,VS2,G,Premium,62.1,60.0,4.39,4.34,2.71
295,Kimberly,720,0.32,VS2,G,Premium,62.3,60.0,4.4,4.37,2.73
296,Kimberly,6779,1.07,VS2,G,Premium,61.9,58.0,6.54,6.55,4.05
297,Kimberly,2623,0.71,VS2,G,Premium,62.1,62.0,5.71,5.65,3.53
298,Kimberly,867,0.43,VS2,G,Premium,61.3,58.0,4.83,4.86,2.97
299,Kimberly,765,0.34,VS2,G,Premium,61.8,58.0,4.5,4.47,2.77
300,Kimberly,5998,1.02,VS2,G,Premium,62.7,61.0,6.39,6.34,3.99
301,Kimberly,13206,1.53,VS2,G,Premium,59.9,61.0,7.54,7.45,4.49
302,Kimberly,5741,1.01,VS2,G,Premium,63.0,58.0,6.42,6.37,4.03
303,Kimberly,675,0.3,VS2,G,Premium,60.6,61.0,4.32,4.29,2.61
304,Kimberly,1113,0.43,VS2,G,Premium,59.1,60.0,4.93,4.88,2.9
305,Kimberly,6644,1.07,VS2,G,Premium,62.9,59.0,6.52,6.49,4.09
306,Kimberly,5887,1.0,VS2,G,Premium,61.0,59.0,6.41,6.37,3.9
307,Kimberly,6683,1.12,VS2,G,Premium,62.3,59.0,6.71,6.61,4.15
308,Kimberly,6177,1.04,VS2,G,Premium,62.5,58.0,6.43,6.47,4.03
309,Kimberly,983,0.38,VS2,G,Premium,59.3,59.0,4.74,4.71,2.8
310,Kimberly,15797,1.7,VS2,G,Premium,59.0,58.0,7.8,7.85,4.62
311,Kimberly,5250,1.02,VS2,G,Premium,61.5,59.0,6.4,6.45,3.95
312,Kimberly,7074,1.16,VS2,G,Premium,59.9,60.0,6.85,6.88,4.11
